"insCode","cSecVal","lSecVal","cSoSecVal","lSoSecVal","cValMne","lVal18","cSocCSAC","lSoc30","yMarNSC","yVal","lVal30","lVal18AFC","cIsin","zTitad","baseVol","instrumentID","cgrValCot","cComVal","lastDate","sourceID","flowTitle","cgrValCotTitle"
"26543014712914772","66","بيمه وصندوق بازنشستگي به جزتامين اجتماعي","6611","فعاليتهاي مالي و اجرائي","MIHZ1","Mihan Insurance","MIHZ","بيمه ميهن","NO","303","بيمه ميهن","ميهن","IRO3MIHZ0006","0.0","0","IRO3MIHZ0001","Z1","3","0","0","","بازار دوم فرابورس"
"26547362091465395","68","صندوق سرمايه گذاري قابل معامله","6816","صندوق سرمايه گذاري خصوصي","PC041","Sorin PCF-PR","PC04","صندوق.س.خصوصي ديوان ارزش","NO","305","صندوق خصوصي ديوان ارزش35%تاديه","ديوان","IRT3PC040004","0.0","0","IRT3PC040001","T1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"26547785441834730","01","زراعت و خدمات وابسته","121","كشاورزي، دامپروري و خدمات وابسته","SAAZ1","Sharif Abad AGRI","SAAZ","كشت وصنعت شريف آباد","NO","303","كشت وصنعت شريف آباد","زشريف","IRO3SAAZ0005","0.0","0","IRO3SAAZ0001","1Z","1","0","0","","بازار اول فرابورس"
"26601876609464268","28","ساخت محصولات فلزي","2899","توليد ساير محصولات فلزي ساخته شده","BIRX1","Iran Packing-R","BIRI","بسته‌ بندي‌ ايران‌","NO","400","ح . بسته‌ بندي‌ ايران‌","فبيراح","IRR1BIRI0102","0.0","0","IRR1BIRI0101","N2","5","0","0","","بازار دوم بورس"
"26622634572348721","59","اوراق حق تقدم استفاده از تسهيلات مسكن","5910","اوراق حق تقدم استفاده از تسهيلات مسكن","TM181","Melli Mortgage1907","MELZ","تسهيلات مسكن بانك ملي ايران","NO","307","تسهيلات مسكن ب. ملي-تير98","تملي804","IRO6MELZ9846","0.0","0","IRO6MELZ9841","M1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"26643740599997035","56","سرمايه گذاريها","5699","ساير واسطه هاي  مالي","SSAX1","Saipa Inv.-R","SSAP","سرمايه‌گذاري‌ سايپا","NO","400","ح . سرمايه‌گذاري‌ سايپا","وساپاح","IRR1SSAP0101","0.0","0","IRR1SSAP0101","N1","1","0","0","","بازار اول (تابلوی اصلی) بورس"
"26711011601058186","31","ماشين آلات و دستگاه‌هاي برقي","3130","توليد سيم و كابل عايق","KBLI1","Iran Cable","KBLI","كابلسازي‌ايران‌","NO","300","كابلسازي‌ايران‌","بايكا","IRO1KBLI0002","0.0","0","IRO1KBLI0001","N2","5","0","0","","بازار دوم بورس"
"26780282166315918","68","صندوق سرمايه گذاري قابل معامله","6812","صندوق سرمايه گذاري در اوراق با درآمدثابت","SOVF1","Sobate Vista ETF","SOVF","صندوق س. درآمد ثابت ثبات ويستا","NO","305","صندوق س. ثبات ويستا -د","ثبات","IRT3SOVF0007","0.0","0","IRT3SOVF0001","1A","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"26785345607979150","44","محصولات شيميايي","4421","توليد حشره كش و ساير محصولات شيميايي","TSAL1","Herbicides Prod","TSAL","توليد سموم‌ علف‌ كش‌","NO","300","توليد سموم‌ علف‌ كش","شسم","IRO1TSAL0002","0.0","0","IRO1TSAL0001","N2","5","0","0","","بازار دوم بورس"
"26787658273107220","64","مخابرات","6420","مخابرات","HMRZ1","Iran Mobile Tele","HMRZ","شركت ارتباطات سيار ايران","NO","303","ارتباطات سيار ايران","همراه","IRO3HMRZ0005","0.0","0","IRO3HMRZ0001","Z1","1","0","0","","بازار اول فرابورس"
