"insCode","dEven","daily"
"12329915567896606","20200711","20230917"
"12331083953323969","20171212","20230917"
"12338753854555828","20180721","20230917"
"12364611634133528","20180721","20230917"
"12387472624849835","20230917","20230917"
"12390706505809150","20220612","20230917"
"12396219770643100","20150621","20230917"
"12490072956930435","20230917","20230917"
"12500403958842711","20081126","20230917"
"12516694598681937","20230607","20230917"
"12549470190400301","20180721","20230917"
"12591006121079822","20081126","20230917"
"12638840758449459","20230917","20230917"
"12639781184165880","20220413","20230917"
"12640914468677503","20230607","20230917"
"12660940572636629","20220418","20230917"
"12746730665870442","20230917","20230917"
"12752224677923341","20230917","20230917"
"12777578088653944","20230917","20230917"
"12794184338378703","20180721","20230917"
"12861919320832022","20180721","20230917"
"12874072841236826","20230918","20230917"
"12879610711255378","20230607","20230917"
"12901875871456398","20230917","20230917"
"12913156843322499","20230701","20230917"
"12950089213578221","20230717","20230917"
"12964716133621704","20171213","20230917"
"12965822877128721","20230917","20230917"
"13010835010902276","20230111","20230917"
"13042290366904822","20081126","20230917"
"13083555452743181","20171213","20230917"
"13109210999770409","20081126","20230917"
"13119207966484500","20090716","20230917"
"13135145986505508","20180721","20230917"
"13151967913317961","20120312","20230917"
"13196430375349226","20120428","20230917"
"13205142633737582","20220412","20230917"
"13227300125161435","20230917","20230917"
"13235547361447092","20230917","20230917"
"13235969998952202","20171212","20230917"
"13243992182070788","20230917","20230917"
"13257702488701597","20180721","20230917"
"13279867471688540","20120722","20230917"
"13279993223440273","20171213","20230917"
"13281937213456378","20230917","20230917"
"13308396407628501","20200929","20230917"
"13308788562230031","20220906","20230917"
"13312547588339850","20090716","20230917"
"13313496265135255","20140525","20230917"
"13326481658514442","20181007","20230917"
"13372459484111650","20230918","20230917"
"13374585544901408","20230814","20230917"
"13391692397871251","20230607","20230917"
"13393354143485328","20230917","20230917"
"13432372731865537","20081126","20230917"
"13461179188856487","20211009","20230917"
"13482565247432073","20171213","20230917"
"13586009334167385","20081126","20230917"
"13611044044646901","20230917","20230917"
"13628968289488697","20200823","20230917"
"13666407494621646","20220906","20230917"
"13666774088286918","20230115","20230917"
"13696143900514915","20110115","20230917"
"13778389952963406","20171213","20230917"
"13806982932031039","20230702","20230917"
"13891373690607361","20221212","20230917"
"13937270451301973","20230917","20230917"
"13960178787771882","20230607","20230917"
"14009560662665347","20220108","20230917"
"14013894800026857","20081126","20230917"
"14027767200567014","20230717","20230917"
"14031158866706953","20230917","20230917"
